id,location,location_area,seller_type,type,partitioning,comfort,price,rooms_count,useful_surface,built_surface,construction_year,real_estate_type,height_regime,level,max_level,kitchens_count,bathrooms_count,garages_count,parking_lots_count,balconies_count
17808,"Bucuresti, Sector 4, zona Tineretului",Tineretului,agency,apartament,decomandat,1,330,2,55,60,1984,bloc de apartamente,P+8E,2,8,1,1,,,1
17809,"Bucuresti, zona Obor",Obor,agency,apartament,decomandat,1,450,3,80,82,1989,bloc de apartamente,P+9E,8,9,1,1,,,
17810,"Bucuresti, Sector 1, zona Bucurestii Noi",Bucurestii Noi,agency,apartament,decomandat,1,430,2,55,60,1984,bloc de apartamente,P+3E,2,3,,1,,,
17811,"Bucuresti, zona Pantelimon",Pantelimon,agency,apartament,semidecomandat,1,360,2,50,55,1980,bloc de apartamente,P+4E,2,4,1,1,,,1
17812,"Bucuresti, zona Baneasa",Baneasa,agency,apartament,semidecomandat,1,600,2,57,68,2019,bloc de apartamente,P+4E,1,4,,1,,1,
17813,"Bucuresti, zona Universitate",Universitate,agency,apartament,decomandat,1,600,2,60,60,1983,bloc de apartamente,P+7E,3,7,1,1,,,2
17814,"Bucuresti, Sector 1, zona Dorobanti",Dorobanti,agency,apartament,decomandat,1,750,2,50,65,1984,bloc de apartamente,P+8E,6,8,1,1,,,1
17815,"Bucuresti, zona Dorobanti",Dorobanti,agency,apartament,decomandat,1,540,2,60,78,,bloc de apartamente,P+4E,4,4,,1,,,
17816,"Bucuresti, Sector 1, zona 1 Mai",1 Mai,agency,apartament,semidecomandat,2,220,1,20,20,1980,bloc de apartamente,P+4E,3,4,1,1,,1,1
17817,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,1,830,3,72,80,2010,bloc de apartamente,P+10E,7,10,1,1,,,1
17818,"Bucuresti, zona Universitate",Universitate,agency,apartament,semidecomandat,1,450,2,50,55,1965,bloc de apartamente,P+8E,7,8,1,1,,,1
17819,"Bucuresti, zona Berceni",Berceni,agency,apartament,decomandat,1,320,1,34,38,2019,bloc de apartamente,P+8E,4,8,1,1,,,1
17820,"Bucuresti, zona Crangasi",Crangasi,agency,apartament,decomandat,1,450,3,75,79,1980,bloc de apartamente,P+8E,5,8,1,2,,1,1
17821,"Bucuresti, zona Tineretului",Tineretului,agency,apartament,decomandat,1,420,2,51,56,,bloc de apartamente,P+10E,1,10,,1,,,
17822,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,499,3,73,80,1995,bloc de apartamente,P+7E,1,7,,2,,,1
17823,"Bucuresti, zona Giurgiului",Giurgiului,agency,apartament,semidecomandat,1,280,2,40,45,,bloc de apartamente,P+8E,6,8,,1,,,
17824,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,decomandat,1,1180,3,90,110,2005,bloc de apartamente,S+P+5E,1,5,2,2,1,,1
17825,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,lux,280,2,45,45,2020,bloc de apartamente,P+8E,7,8,1,1,,,1
17826,"Bucuresti, zona P-ta Alba Iulia",P-ta Alba Iulia,agency,apartament,decomandat,,500,3,80,91,1991,bloc de apartamente,P+8E,4,8,,2,,,2
17827,"Bucuresti, zona Nordului",Nordului,agency,apartament,,,1400,3,75,92,2017,bloc de apartamente,P+13E,5,13,,2,,1,1
17828,"Bucuresti, Sector 2, zona Foisorul de Foc",Foisorul de Foc,agency,apartament,decomandat,lux,400,3,95,95,1970,casa/vila,P+3E,1,3,,1,,,2
17829,"Bucuresti, zona Dorobanti",Dorobanti,agency,apartament,decomandat,1,989,4,100,110,1970,bloc de apartamente,P+10E,8,10,1,,,,1
17830,"Bucuresti, zona Obor",Obor,agency,apartament,semidecomandat,1,350,3,60,70,,bloc de apartamente,P+9E,8,9,,1,,,
17901,"Bucuresti, zona Nicolae Grigorescu",Nicolae Grigorescu,agency,apartament,decomandat,1,300,1,40,40,,bloc de apartamente,P+7E,1,7,,1,,,
17902,"Bucuresti, zona Romana",Romana,agency,apartament,semidecomandat,1,400,2,40,47,,bloc de apartamente,P+11E,9,11,,1,,,
17903,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1000,4,130,150,2006,bloc de apartamente,P+5E,2,5,1,2,1,,1
17904,"Bucuresti, zona Drumul Taberei",Drumul Taberei,agency,apartament,semidecomandat,1,250,1,33,37,2008,bloc de apartamente,P+9E,6,9,1,1,,,1
17905,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,1000,2,58,66,2019,bloc de apartamente,P+7E,6,7,1,1,1,1,1
17906,"Bucuresti, zona Stefan cel Mare",Stefan cel Mare,agency,apartament,semidecomandat,1,330,2,57,60,1970,bloc de apartamente,P+9E,4,9,1,1,,,
17907,"Bucuresti, Sector 1, zona Floreasca",Floreasca,agency,apartament,decomandat,,450,2,43,55,1984,bloc de apartamente,P+2E,2,2,1,1,,,
17908,"Bucuresti, zona Aviatorilor",Aviatorilor,agency,apartament,semidecomandat,1,1500,5,151,183,2003,bloc de apartamente,P+5E,2,5,1,3,1,,1
17909,"Bucuresti, zona Kogalniceanu",Kogalniceanu,agency,apartament,decomandat,1,400,2,55,60,1980,bloc de apartamente,P+5E,2,5,1,1,,,1
17910,"Bucuresti, zona Berceni",Berceni,agency,apartament,semidecomandat,1,330,2,65,70,,bloc de apartamente,P+8E,Parter,8,,1,,,
17911,"Bucuresti, zona Tei",Tei,agency,apartament,decomandat,1,390,4,69,80,,bloc de apartamente,P+10E,9,10,,1,,,
17912,"Bucuresti, zona Victoriei",Victoriei,agency,apartament,decomandat,1,659,3,85,95,1962,casa/vila,P+2E,1,2,1,1,,,
17913,"Bucuresti, zona Timpuri Noi",Timpuri Noi,agency,apartament,decomandat,1,350,1,38,44,1990,bloc de apartamente,P+8E,2,8,,1,,,1
17914,"Bucuresti, zona Berceni",Berceni,agency,apartament,semidecomandat,1,400,3,68,71,1980,bloc de apartamente,P+4E,Parter,4,,2,,,1
17915,"Bucuresti, Sector 2, zona Calea Calarasilor",Calea Calarasilor,agency,apartament,nedecomandat,lux,430,2,46,52,1984,bloc de apartamente,P+9E,4,9,1,1,,,
17916,"Bucuresti, zona Titan",Titan,agency,apartament,semidecomandat,1,289,2,50,55,1980,bloc de apartamente,P+8E,2,8,1,1,,,1
